Time,Moisture
13:00:00 19/04/2026,649
13:00:02 19/04/2026,649
13:00:04 19/04/2026,648
13:00:06 19/04/2026,649
13:00:08 19/04/2026,648
13:00:10 19/04/2026,649
13:00:12 19/04/2026,648
13:00:14 19/04/2026,649
13:00:16 19/04/2026,649
13:00:18 19/04/2026,648
13:00:20 19/04/2026,648
13:00:22 19/04/2026,647
13:00:24 19/04/2026,647
13:00:26 19/04/2026,649
13:00:28 19/04/2026,648
13:00:30 19/04/2026,647
13:00:32 19/04/2026,648
13:00:34 19/04/2026,647
13:00:36 19/04/2026,647
13:00:38 19/04/2026,648
13:00:40 19/04/2026,649
13:00:42 19/04/2026,648
13:00:44 19/04/2026,648
13:00:46 19/04/2026,649
13:00:48 19/04/2026,649
13:00:50 19/04/2026,647
13:00:52 19/04/2026,648
13:00:54 19/04/2026,648
13:00:56 19/04/2026,649
13:00:58 19/04/2026,649
13:01:00 19/04/2026,647
13:01:02 19/04/2026,647
13:01:04 19/04/2026,649
13:01:06 19/04/2026,649
13:01:08 19/04/2026,647
13:01:10 19/04/2026,630
13:01:12 19/04/2026,629
13:01:14 19/04/2026,628
13:01:16 19/04/2026,630
13:01:18 19/04/2026,628
13:01:20 19/04/2026,628
13:01:22 19/04/2026,629
13:01:24 19/04/2026,629
13:01:26 19/04/2026,630
13:01:28 19/04/2026,628
13:01:30 19/04/2026,629
13:01:32 19/04/2026,628
13:01:34 19/04/2026,629
13:01:36 19/04/2026,630
13:01:38 19/04/2026,630
13:01:40 19/04/2026,629
13:01:42 19/04/2026,629
13:01:44 19/04/2026,630
13:01:46 19/04/2026,629
13:01:48 19/04/2026,630
13:01:50 19/04/2026,629
13:01:52 19/04/2026,630
13:01:54 19/04/2026,628
13:01:56 19/04/2026,628
13:01:58 19/04/2026,630
13:02:00 19/04/2026,630
13:02:02 19/04/2026,629
13:02:04 19/04/2026,629
13:02:06 19/04/2026,630
13:02:08 19/04/2026,628
13:02:10 19/04/2026,606
13:02:12 19/04/2026,608
13:02:14 19/04/2026,607
13:02:16 19/04/2026,607
13:02:18 19/04/2026,607
13:02:20 19/04/2026,607
13:02:22 19/04/2026,607
13:02:24 19/04/2026,607
13:02:26 19/04/2026,608
13:02:28 19/04/2026,607
13:02:30 19/04/2026,607
13:02:32 19/04/2026,607
13:02:34 19/04/2026,607
13:02:36 19/04/2026,606
13:02:38 19/04/2026,606
13:02:40 19/04/2026,608
13:02:42 19/04/2026,607
13:02:44 19/04/2026,607
13:02:46 19/04/2026,607
13:02:48 19/04/2026,606
13:02:50 19/04/2026,608
13:02:52 19/04/2026,607
13:02:54 19/04/2026,606
13:02:56 19/04/2026,607
13:02:58 19/04/2026,607
13:03:00 19/04/2026,608
13:03:02 19/04/2026,606
13:03:04 19/04/2026,607
13:03:06 19/04/2026,606
13:03:08 19/04/2026,607
13:03:10 19/04/2026,586
13:03:12 19/04/2026,585
13:03:14 19/04/2026,586
13:03:16 19/04/2026,584
13:03:18 19/04/2026,585
13:03:20 19/04/2026,586
13:03:22 19/04/2026,584
13:03:24 19/04/2026,586
13:03:26 19/04/2026,585
13:03:28 19/04/2026,584
13:03:30 19/04/2026,586
13:03:32 19/04/2026,585
13:03:34 19/04/2026,586
13:03:36 19/04/2026,584
13:03:38 19/04/2026,586
13:03:40 19/04/2026,586
13:03:42 19/04/2026,586
13:03:44 19/04/2026,584
13:03:46 19/04/2026,585
13:03:48 19/04/2026,585
13:03:50 19/04/2026,584
13:03:52 19/04/2026,585
13:03:54 19/04/2026,585
13:03:56 19/04/2026,585
13:03:58 19/04/2026,584
13:04:00 19/04/2026,584
13:04:02 19/04/2026,584
13:04:04 19/04/2026,584
13:04:06 19/04/2026,586
13:04:08 19/04/2026,585
13:04:10 19/04/2026,565
13:04:12 19/04/2026,567
13:04:14 19/04/2026,566
13:04:16 19/04/2026,565
13:04:18 19/04/2026,567
13:04:20 19/04/2026,565
13:04:22 19/04/2026,567
13:04:24 19/04/2026,565
13:04:26 19/04/2026,566
13:04:28 19/04/2026,567
13:04:30 19/04/2026,565
13:04:32 19/04/2026,565
13:04:34 19/04/2026,567
13:04:36 19/04/2026,567
13:04:38 19/04/2026,565
13:04:40 19/04/2026,566
13:04:42 19/04/2026,565
13:04:44 19/04/2026,567
13:04:46 19/04/2026,567
13:04:48 19/04/2026,566
13:04:50 19/04/2026,565
13:04:52 19/04/2026,565
13:04:54 19/04/2026,566
13:04:56 19/04/2026,567
13:04:58 19/04/2026,565
13:05:00 19/04/2026,566
13:05:02 19/04/2026,567
13:05:04 19/04/2026,566
13:05:06 19/04/2026,567
13:05:08 19/04/2026,566
13:05:10 19/04/2026,544
13:05:12 19/04/2026,543
13:05:14 19/04/2026,544
13:05:16 19/04/2026,544
13:05:18 19/04/2026,544
13:05:20 19/04/2026,545
13:05:22 19/04/2026,544
13:05:24 19/04/2026,544
13:05:26 19/04/2026,543
13:05:28 19/04/2026,543
13:05:30 19/04/2026,544
13:05:32 19/04/2026,543
13:05:34 19/04/2026,544
13:05:36 19/04/2026,544
13:05:38 19/04/2026,545
13:05:40 19/04/2026,543
13:05:42 19/04/2026,543
13:05:44 19/04/2026,544
13:05:46 19/04/2026,545
13:05:48 19/04/2026,543
13:05:50 19/04/2026,543
13:05:52 19/04/2026,545
13:05:54 19/04/2026,544
13:05:56 19/04/2026,544
13:05:58 19/04/2026,543
13:06:00 19/04/2026,544
13:06:02 19/04/2026,545
13:06:04 19/04/2026,545
13:06:06 19/04/2026,544
13:06:08 19/04/2026,543
13:06:10 19/04/2026,525
13:06:12 19/04/2026,523
13:06:14 19/04/2026,525
13:06:16 19/04/2026,523
13:06:18 19/04/2026,525
13:06:20 19/04/2026,524
13:06:22 19/04/2026,524
13:06:24 19/04/2026,525
13:06:26 19/04/2026,525
13:06:28 19/04/2026,524
13:06:30 19/04/2026,524
13:06:32 19/04/2026,523
13:06:34 19/04/2026,523
13:06:36 19/04/2026,523
13:06:38 19/04/2026,525
13:06:40 19/04/2026,524
13:06:42 19/04/2026,524
13:06:44 19/04/2026,525
13:06:46 19/04/2026,524
13:06:48 19/04/2026,523
13:06:50 19/04/2026,525
13:06:52 19/04/2026,524
13:06:54 19/04/2026,524
13:06:56 19/04/2026,525
13:06:58 19/04/2026,523
13:07:00 19/04/2026,524
13:07:02 19/04/2026,525
13:07:04 19/04/2026,524
13:07:06 19/04/2026,523
13:07:08 19/04/2026,523
13:07:10 19/04/2026,524
13:07:12 19/04/2026,524
13:07:14 19/04/2026,524
13:07:16 19/04/2026,525
13:07:18 19/04/2026,523
13:07:20 19/04/2026,525
13:07:22 19/04/2026,525
13:07:24 19/04/2026,523
13:07:26 19/04/2026,525
13:07:28 19/04/2026,524
13:07:30 19/04/2026,525
13:07:32 19/04/2026,524
13:07:34 19/04/2026,523
13:07:36 19/04/2026,524
13:07:38 19/04/2026,523
13:07:40 19/04/2026,524
13:07:42 19/04/2026,524
13:07:44 19/04/2026,523
13:07:46 19/04/2026,524
13:07:48 19/04/2026,523
13:07:50 19/04/2026,523
13:07:52 19/04/2026,524
13:07:54 19/04/2026,524
13:07:56 19/04/2026,524
13:07:58 19/04/2026,523
13:08:00 19/04/2026,523
13:08:02 19/04/2026,525
13:08:04 19/04/2026,523
13:08:06 19/04/2026,523
13:08:08 19/04/2026,524
13:08:10 19/04/2026,524
13:08:12 19/04/2026,523
13:08:14 19/04/2026,525
13:08:16 19/04/2026,524
13:08:18 19/04/2026,525
13:08:20 19/04/2026,525
13:08:22 19/04/2026,523
13:08:24 19/04/2026,523
13:08:26 19/04/2026,523
13:08:28 19/04/2026,525
13:08:30 19/04/2026,525
13:08:32 19/04/2026,524
13:08:34 19/04/2026,524
13:08:36 19/04/2026,524
13:08:38 19/04/2026,524
13:08:40 19/04/2026,523
13:08:42 19/04/2026,523
13:08:44 19/04/2026,523
13:08:46 19/04/2026,524
13:08:48 19/04/2026,524
13:08:50 19/04/2026,524
13:08:52 19/04/2026,524
13:08:54 19/04/2026,523
13:08:56 19/04/2026,525
13:08:58 19/04/2026,524
13:09:00 19/04/2026,523
13:09:02 19/04/2026,524
13:09:04 19/04/2026,523
13:09:06 19/04/2026,523
13:09:08 19/04/2026,524
13:09:10 19/04/2026,523
13:09:12 19/04/2026,523
13:09:14 19/04/2026,524
13:09:16 19/04/2026,523
13:09:18 19/04/2026,525
13:09:20 19/04/2026,523
13:09:22 19/04/2026,523
13:09:24 19/04/2026,523
13:09:26 19/04/2026,524
13:09:28 19/04/2026,525
13:09:30 19/04/2026,525
13:09:32 19/04/2026,524
13:09:34 19/04/2026,525
13:09:36 19/04/2026,523
13:09:38 19/04/2026,524
13:09:40 19/04/2026,525
13:09:42 19/04/2026,524
13:09:44 19/04/2026,523
13:09:46 19/04/2026,524
13:09:48 19/04/2026,523
13:09:50 19/04/2026,524
13:09:52 19/04/2026,524
13:09:54 19/04/2026,525
13:09:56 19/04/2026,524
13:09:58 19/04/2026,525
